ticket_id,comment_type,status,timestamp
JIRA-001,LLM-response,,2025-07-13 18:36:06
JIRA-002,Fixed,In Testing,2025-07-13 18:36:06
JIRA-001,Fixed,In Testing,2025-07-13 18:50:05
JIRA-002,Fixed,In Testing,2025-07-13 18:50:05
JIRA-001,Initial-response,,2025-07-13 19:09:36
JIRA-001,Fixed,In Testing,2025-07-13 19:09:36
JIRA-002,Initial-response,,2025-07-13 19:09:36
JIRA-002,Fixed,In Testing,2025-07-13 19:09:36
JIRA-001,Initial-response,,2025-07-13 19:13:14
JIRA-001,Fixed,In Testing,2025-07-13 19:13:14
JIRA-002,Initial-response,,2025-07-13 19:13:14
JIRA-002,Fixed,In Testing,2025-07-13 19:13:14
JIRA-001,Initial-response,,2025-07-13 20:57:20
JIRA-001,Fixed,In Testing,2025-07-13 20:57:20
JIRA-002,Initial-response,,2025-07-13 20:57:20
JIRA-002,Template-response,,2025-07-13 20:57:20
JIRA-001,Initial-response,,2025-07-13 21:03:20
JIRA-001,Fixed,In Testing,2025-07-13 21:03:20
JIRA-002,Initial-response,,2025-07-13 21:03:20
JIRA-002,Template-response,,2025-07-13 21:03:20
JIRA-003,Initial-response,,2025-07-13 21:03:20
JIRA-003,Template-response,,2025-07-13 21:03:20
JIRA-004,Initial-response,,2025-07-13 21:03:20
JIRA-004,Fixed,In Testing,2025-07-13 21:03:20
JIRA-005,Initial-response,,2025-07-13 21:03:20
JIRA-005,Fixed,In Testing,2025-07-13 21:03:20
JIRA-001,Initial-response,,2025-07-13 21:11:28
JIRA-001,Fixed,In Testing,2025-07-13 21:11:31
JIRA-002,Initial-response,,2025-07-13 21:11:33
JIRA-002,Template-response,,2025-07-13 21:11:34
JIRA-003,Initial-response,,2025-07-13 21:11:36
JIRA-003,Template-response,,2025-07-13 21:11:37
JIRA-004,Initial-response,,2025-07-13 21:11:39
JIRA-004,Fixed,In Testing,2025-07-13 21:11:42
JIRA-005,Initial-response,,2025-07-13 21:11:43
JIRA-005,Fixed,In Testing,2025-07-13 21:11:46
JIRA-001,Initial-response,,2025-07-13 21:13:00
JIRA-001,Fixed,In Testing,2025-07-13 21:13:03
JIRA-002,Initial-response,,2025-07-13 21:13:06
JIRA-002,Template-response,,2025-07-13 21:13:07
JIRA-003,Initial-response,,2025-07-13 21:13:10
JIRA-003,Template-response,,2025-07-13 21:13:12
JIRA-004,Initial-response,,2025-07-13 21:13:15
JIRA-004,Fixed,In Testing,2025-07-13 21:13:18
JIRA-005,Initial-response,,2025-07-13 21:13:21
JIRA-005,Fixed,In Testing,2025-07-13 21:13:24
JIRA-001,Initial-response,,2025-07-13 21:13:58
JIRA-001,Fixed,In Testing,2025-07-13 21:14:01
JIRA-002,Initial-response,,2025-07-13 21:14:05
JIRA-002,Template-response,,2025-07-13 21:14:07
JIRA-003,Initial-response,,2025-07-13 21:14:11
JIRA-003,Template-response,,2025-07-13 21:14:13
JIRA-004,Initial-response,,2025-07-13 21:14:17
JIRA-004,Fixed,In Testing,2025-07-13 21:14:20
JIRA-005,Initial-response,,2025-07-13 21:14:25
JIRA-005,Fixed,In Testing,2025-07-13 21:14:28
JIRA-001,Initial-response,,2025-07-14 12:50:54
JIRA-001,Fixed,In Testing,2025-07-14 12:50:57
JIRA-002,Initial-response,,2025-07-14 12:51:02
JIRA-002,Template-response,,2025-07-14 12:51:03
JIRA-003,Initial-response,,2025-07-14 12:51:08
JIRA-003,Template-response,,2025-07-14 12:51:09
JIRA-004,Initial-response,,2025-07-14 12:51:14
JIRA-004,Fixed,In Testing,2025-07-14 12:51:17
JIRA-005,Initial-response,,2025-07-14 12:51:21
JIRA-005,Fixed,In Testing,2025-07-14 12:51:24
JIRA-001,Initial-response,,2025-07-14 13:04:14
JIRA-001,LLM-response,,2025-07-14 13:04:21
JIRA-001,Initial-response,,2025-07-14 13:04:23
JIRA-001,Fixed,In Testing,2025-07-14 13:04:25
JIRA-002,Initial-response,,2025-07-14 13:04:27
JIRA-002,Template-response,,2025-07-14 13:04:28
JIRA-003,Initial-response,,2025-07-14 13:04:30
JIRA-003,Template-response,,2025-07-14 13:04:31
JIRA-004,Initial-response,,2025-07-14 13:04:33
JIRA-004,Fixed,In Testing,2025-07-14 13:04:35
JIRA-005,Initial-response,,2025-07-14 13:04:37
JIRA-005,Template-response,,2025-07-14 13:04:38
JIRA-005,Initial-response,,2025-07-14 13:04:40
JIRA-005,Fixed,In Testing,2025-07-14 13:04:42
JIRA-001,Initial-response,,2025-07-14 13:05:41
JIRA-001,LLM-response,,2025-07-14 13:05:46
JIRA-001,Initial-response,,2025-07-14 13:05:48
JIRA-001,Fixed,In Testing,2025-07-14 13:05:50
JIRA-002,Initial-response,,2025-07-14 13:05:52
JIRA-002,Template-response,,2025-07-14 13:05:53
JIRA-003,Initial-response,,2025-07-14 13:05:55
JIRA-003,Template-response,,2025-07-14 13:05:56
JIRA-004,Initial-response,,2025-07-14 13:05:58
JIRA-004,Fixed,In Testing,2025-07-14 13:06:00
JIRA-005,Initial-response,,2025-07-14 13:06:02
JIRA-005,Template-response,,2025-07-14 13:06:03
JIRA-005,Initial-response,,2025-07-14 13:06:05
JIRA-005,Fixed,In Testing,2025-07-14 13:06:07
JIRA-001,Initial-response,,2025-07-14 13:09:42
JIRA-001,LLM-response,,2025-07-14 13:09:48
JIRA-001,Initial-response,,2025-07-14 13:09:50
JIRA-001,Fixed,In Testing,2025-07-14 13:09:52
JIRA-002,Initial-response,,2025-07-14 13:09:54
JIRA-002,Template-response,,2025-07-14 13:09:55
JIRA-003,Initial-response,,2025-07-14 13:09:57
JIRA-003,Template-response,,2025-07-14 13:09:58
JIRA-004,Initial-response,,2025-07-14 13:10:00
JIRA-004,Fixed,In Testing,2025-07-14 13:10:02
JIRA-005,Initial-response,,2025-07-14 13:10:04
JIRA-005,Template-response,,2025-07-14 13:10:05
JIRA-005,Initial-response,,2025-07-14 13:10:07
JIRA-005,Fixed,In Testing,2025-07-14 13:10:09
